Essa foi sua primeira Python Brasil?,Quais atividades você participou?,Quais dias você participou?,Avalie a sua satisfação em geral com... [Python Brasil 2020],Avalie a sua satisfação em geral com... [Rodas de conversa],Avalie a sua satisfação em geral com... [Palestras],Avalie a sua satisfação em geral com... [Keynotes],Avalie a sua satisfação em geral com... [Tutoriais],Avalie a sua satisfação em geral com... [Sprints],O que você achou dos... [Temas das palestras?],O que você achou dos... [Níveis das palestras?],O que você achou dos... [Temas dos tutoriais?],O que você achou dos... [Níveis dos tutoriais?],Qual a chance de você participar da Python Brasil 2021? [Se for online],Qual a chance de você participar da Python Brasil 2021? [Se for presencial],"Se a Python Brasil 2021 for online, qual seria o maior impeditivo para você participar do evento?","Se a Python Brasil 2021 for presencial, qual seria o maior impeditivo para você participar do evento?"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,,Alta,,,,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Baixa,Alta,Baixa,Baixa,Baixa,Bom,Bom,Indiferente,Indiferente,Muito alta,Baixa,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Alta,Muito baixa,Muito baixa,Excelente,Excelente,Excelente,Excelente,Alta,Muito alta,,
Não,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,,Alta,,,,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Conectividade,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Baixa,Muito alta,Muito alta,Muito baixa,Muito baixa,Bom,Bom,Não se aplica,Não se aplica,Alta,Alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,Tutoriais,Domingo,Muito alta,Não se aplica,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,,Excelente,Excelente,Média,Muito alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Muito alta,Alta,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Não,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,"Horários das atividades incompatíveis com agenda, Conectividade, Sei que dá trabalho fazer versão online e presencial. Mas a há muitas vantagens em ser online!","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Acessibilidade do evento, acredito que a pergunta correta é  ""Se a Python Brasil 2021 for PRESENCIAL, qual seria o maior impeditivo para você participar do evento?"""
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Média,Média,Não se aplica,Média,Média,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,"Acessibilidade do evento, Conectividade",Acessibilidade do evento
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sábado, Domingo",Alta,Média,Média,Não se aplica,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Acessibilidade do evento,Acessibilidade do evento
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Média,Não se aplica,Média,Média,Não se aplica,Não se aplica,Bom,Indiferente,Não se aplica,Não se aplica,Baixa,Alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Baixa,Não se aplica,Baixa,Baixa,Alta,Não se aplica,Bom,Bom,Bom,Excelente,Alta,Alta,Horários das atividades incompatíveis com agenda,Custo do ingresso
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito baixa,Muito alta,Não tenho interesse em eventos on-line,"? se for online não há impeditivo, mas é muito cansativo "
Sim,Tutoriais,Domingo,,,,,Muito alta,,Bom,Bom,Bom,Bom,Muito alta,Muito alta,"Acessibilidade do evento, Conectividade, Ferramentas utilizadas no evento",
Sim,Palestras à tarde,"Terça-feira, Quarta-feira",Não se aplica,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Bom,Excelente,Não se aplica,Não se aplica,Muito alta,Muito baixa,Tentarei participar,Dificuldade em liberação pela empresa
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Alta,Não se aplica,Alta,Muito baixa,Muito baixa,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,,Dificuldade em liberação pela empresa
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Baixa,Muito alta,Muito alta,Baixa,Baixa,Excelente,Excelente,Bom,Bom,Muito alta,Baixa,"Acessibilidade do evento, Conectividade, Ferramentas utilizadas no evento",
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Domingo",Muito alta,Alta,Alta,Alta,Não se aplica,Muito alta,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Alta,"Acessibilidade do evento, Conectividade","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Não,"Palestras à noite, Keynotes",Quarta-feira,Muito alta,Não se aplica,Média,Média,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,"Acessibilidade do evento, Conectividade","Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa"
Não,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Média,Não se aplica,Baixa,Baixa,Muito baixa,Não se aplica,Bom,Bom,Indiferente,Excelente,Alta,Alta,,
Sim,Palestras à tarde,Quarta-feira,,,Média,,,,Excelente,Indiferente,Ruim,Não se aplica,Muito alta,Muito baixa,"Acessibilidade do evento, Conectividade","Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Tutoriais","Sábado, Domingo",Não se aplica,Não se aplica,Não se aplica,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Indiferente,Indiferente,Muito baixa,Muito baixa,inscrições fornecidas insuficientes pro número de ingressos disponíveis.,Overbooking praticado nos ingressos
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira",Muito alta,Alta,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,,Horários das atividades incompatíveis com agenda,"Se for online, não terá impedimentos "
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Média,,Média,Média,,,Excelente,Excelente,,,Muito alta,,Acessibilidade do evento,Acessibilidade do evento
Não,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Ferramentas utilizadas no evento,"Custo do transporte, Custo da estadia"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,,Muito alta,,Muito alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,,
Não,"Rodas de conversa, Palestras à tarde, Tutoriais","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Alta,Média,Alta,,Alta,,Bom,Bom,Bom,Bom,Alta,Muito alta,Acessibilidade do evento,"Custo do transporte, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Keynotes","Segunda-feira, Terça-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Muito alta,Conectividade,Dificuldade em liberação pela empresa
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Média,Alta,Alta,Muito baixa,Muito baixa,Bom,Excelente,Não se aplica,,Alta,Muito alta,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Sim,Palestras à noite,"Sexta-feira, Sábado, Domingo",Muito alta,Baixa,Alta,Baixa,Baixa,Baixa,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Baixa,Muito alta,Média,Baixa,,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,"Horários das atividades incompatíveis com agenda, Sendo online 100%",Online eu participo
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sábado",Alta,Não se aplica,Alta,Alta,Média,Não se aplica,Bom,Excelente,Bom,Bom,Muito alta,Muito baixa,"Horários das atividades incompatíveis com agenda, Conectividade, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Alta,Alta,Baixa,Muito alta,Baixa,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Alta,,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Alta,,,Custo do transporte
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,,Alta,,Muito alta,,Excelente,Excelente,Excelente,Excelente,Alta,Muito alta,Acho que as opções de resposta para essa pergunta estão erradas,Não teria impedimento
Sim,"Rodas de conversa, Palestras à noite","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Alta,Alta,Alta,Alta,Bom,Bom,Bom,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Não,"Palestras à tarde, Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Muito alta,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa"
Sim,Tutoriais,Sábado,Muito alta,Não se aplica,Não se aplica,Não se aplica,Muito alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,Não estou residindo no Brasil
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Alta,Não se aplica,Muito alta,Média,Alta,Não se aplica,Excelente,Excelente,Indiferente,Bom,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Rodas de conversa, Keynotes, Tutoriais, Sprints","Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,Tutoriais,Sábado,,,,,Muito alta,,,,Excelente,,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Média,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Conectividade,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Rodas de conversa, Palestras à noite, Keynotes","Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Alta,Alta,Alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Acessibilidade do evento
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Alta,Média,Alta,,,,Excelente,Excelente,,,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos","Insegurança relacionada a pandemia COVID-19, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa"
Não,"Tutoriais, Sprints",Sábado,Muito alta,Não se aplica,Não se aplica,Não se aplica,Muito alta,Alta,Não se aplica,Não se aplica,Excelente,Excelente,Alta,Baixa,"Horários das atividades incompatíveis com agenda, Não tenho interesse em eventos on-line","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Não,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Alta,Muito alta,Horários das atividades incompatíveis com agenda,
Não,"Palestras à tarde, Palestras à noite, Keynotes","Terça-feira, Quarta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à noite, Keynotes","Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Custo da estadia, Não ter ninguém com quem deixar os filhos"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira",Muito alta,Alta,Muito alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,Não ter ninguém com quem deixar os filhos,"Custo do transporte, Custo da estadia, Custo do ingresso, Não ter ninguém com quem deixar os filhos"
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Quarta-feira, Quinta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,,"Custo do transporte, Custo da estadia"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Alta,Alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,Palestras à noite,"Quarta-feira, Quinta-feira, Sábado",Muito alta,Alta,Alta,Média,Média,Média,Bom,Bom,Bom,Bom,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Muito alta,Alta,Muito alta,Alta,Excelente,Excelente,Excelente,Bom,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Conectividade, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Não ter ninguém com quem deixar os filhos,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,"Horários das atividades incompatíveis com agenda, Conectividade","Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite",Segunda-feira,Média,Muito baixa,Alta,Não se aplica,Não se aplica,Não se aplica,Ruim,Bom,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Alta,Não se aplica,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,"Horários das atividades incompatíveis com agenda, Acessibilidade do evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte"
Sim,"Palestras à tarde, Palestras à noite, Keynotes",Segunda-feira,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia"
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Alta,,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira",Muito alta,Alta,Alta,Muito alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Dificuldade em liberação pela empresa"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Alta,Alta,Muito baixa,Média,Bom,Excelente,Bom,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte"
