Essa foi sua primeira Python Brasil?,Quais atividades você participou?,Quais dias você participou?,Avalie a sua satisfação em geral com... [Python Brasil 2020],Avalie a sua satisfação em geral com... [Rodas de conversa],Avalie a sua satisfação em geral com... [Palestras],Avalie a sua satisfação em geral com... [Keynotes],Avalie a sua satisfação em geral com... [Tutoriais],Avalie a sua satisfação em geral com... [Sprints],O que você achou dos... [Temas das palestras?],O que você achou dos... [Níveis das palestras?],O que você achou dos... [Temas dos tutoriais?],O que você achou dos... [Níveis dos tutoriais?],Qual a chance de você participar da Python Brasil 2021? [Se for online],Qual a chance de você participar da Python Brasil 2021? [Se for presencial],"Se a Python Brasil 2021 for online, qual seria o maior impeditivo para você participar do evento?","Se a Python Brasil 2021 for presencial, qual seria o maior impeditivo para você participar do evento?","Se escolheu alguma das opções acima, detalhe os motivos abaixo.",Como podemos melhorar na próxima edição da Python Brasil?,Você têm algum outro comentário sobre a Python Brasil 2020?
Não,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,"Horários das atividades incompatíveis com agenda, Conectividade, Sei que dá trabalho fazer versão online e presencial. Mas a há muitas vantagens em ser online!","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Acessibilidade do evento, acredito que a pergunta correta é  ""Se a Python Brasil 2021 for PRESENCIAL, qual seria o maior impeditivo para você participar do evento?""",,"Do meu ponto de vista foi excelente! Mas minha sugestão é que ao mesmo tempo que se abrem para inscrição do evento, de palestras e tutoriais, abram também para voluntários. ",
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Média,Média,Não se aplica,Média,Média,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,"Acessibilidade do evento, Conectividade",Acessibilidade do evento,Cultura da empresa,Mais dias.,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sábado, Domingo",Alta,Média,Média,Não se aplica,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Acessibilidade do evento,Acessibilidade do evento,Internet.,TA tudo top,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Média,Não se aplica,Média,Média,Não se aplica,Não se aplica,Bom,Indiferente,Não se aplica,Não se aplica,Baixa,Alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa,Como sou novo na empresa creio que seja difícil de sair.,"Palestrantes mais preparados e mais vagas para os tutoriais, de repente por ser online disponibilizar depois. MAs acredito que eventos assim a experiência sempre será mel;hor presencialmente, nos demais adorei o dia que teve as meninas do Pizza de dados.",
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Baixa,Não se aplica,Baixa,Baixa,Alta,Não se aplica,Bom,Bom,Bom,Excelente,Alta,Alta,Horários das atividades incompatíveis com agenda,Custo do ingresso,Não posso passar a semana no evento. Às vezes estou em outra cidade. A maioria das palestras vi gravações.,,
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito baixa,Muito alta,Não tenho interesse em eventos on-line,"? se for online não há impeditivo, mas é muito cansativo ",,,
Sim,Tutoriais,Domingo,,,,,Muito alta,,Bom,Bom,Bom,Bom,Muito alta,Muito alta,"Acessibilidade do evento, Conectividade, Ferramentas utilizadas no evento",,,,
Sim,Palestras à tarde,"Terça-feira, Quarta-feira",Não se aplica,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Bom,Excelente,Não se aplica,Não se aplica,Muito alta,Muito baixa,Tentarei participar,Dificuldade em liberação pela empresa,,Gostei da forma que foi,
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Alta,Não se aplica,Alta,Muito baixa,Muito baixa,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,,Dificuldade em liberação pela empresa,,Os tutoriais poderiam ser disponibilizados em algum canal fechado e ficarem gravados para que todos pudessem assistir em momento posterior.,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Baixa,Muito alta,Muito alta,Baixa,Baixa,Excelente,Excelente,Bom,Bom,Muito alta,Baixa,"Acessibilidade do evento, Conectividade, Ferramentas utilizadas no evento",,,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Domingo",Muito alta,Alta,Alta,Alta,Não se aplica,Muito alta,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Alta,"Acessibilidade do evento, Conectividade","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",Por ser de outra área não tenho como ter liberação para participar,Ser um evento híbrido presencial e on line,
Não,"Palestras à noite, Keynotes",Quarta-feira,Muito alta,Não se aplica,Média,Média,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,"Acessibilidade do evento, Conectividade","Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa",,Fornecer um modelo hibrído para o Python Brasil,
Não,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Média,Não se aplica,Baixa,Baixa,Muito baixa,Não se aplica,Bom,Bom,Indiferente,Excelente,Alta,Alta,,,,,
Sim,Palestras à tarde,Quarta-feira,,,Média,,,,Excelente,Indiferente,Ruim,Não se aplica,Muito alta,Muito baixa,"Acessibilidade do evento, Conectividade","Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa","Cidades muito longe da minha é difícil de participar pois eu teria que gastar muito dinheiro com estadia etc , além de geralmente cair em épocas que ainda está acontecendo minhas aulas da universidade , dessa forma , uma versão online seria mais acessível","Deixar as palestras menores , colocar detalhes melhores sobre a palestra,e separar pelo tema da palestra no vídeo do YouTube ",
Sim,"Rodas de conversa, Tutoriais","Sábado, Domingo",Não se aplica,Não se aplica,Não se aplica,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Indiferente,Indiferente,Muito baixa,Muito baixa,inscrições fornecidas insuficientes pro número de ingressos disponíveis.,Overbooking praticado nos ingressos,"Apesar do ingresso ter sido gratuito, os tutoriais se esgotaram muito rápido, não consegui assistir nenhum deles.","Melhor planejamento, sem overbooking.",
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira",Muito alta,Alta,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,,Horários das atividades incompatíveis com agenda,"Se for online, não terá impedimentos ",,"Disponibilizar os tutoriais posteriormente para que possam ser revistos e em caso do evento ser online, permitir a inscrição em mais de um tutorial ",
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Média,,Média,Média,,,Excelente,Excelente,,,Muito alta,,Acessibilidade do evento,Acessibilidade do evento,Pq eu moro longe e não tenho como viajar,"Eu gostei do Evento em relação as palestras, Keynote e etc. Só fiquei triste com o fato de não ter conseguido participar dos eventos do sábado e domingo (principalmente o domingo, que eu mais queria), pois realizei minha inscrição e foi cancelada. E quando fui tentar fazer novamente, no outro dia, não tinha mais vaga, fiquei bem decepcionada. Mas fora esse ocorrido, foi interessante, aprendi bastante coisa.",
Não,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Ferramentas utilizadas no evento,"Custo do transporte, Custo da estadia",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,,
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,,Muito alta,,Muito alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,,,,,
Não,"Rodas de conversa, Palestras à tarde, Tutoriais","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Alta,Média,Alta,,Alta,,Bom,Bom,Bom,Bom,Alta,Muito alta,Acessibilidade do evento,"Custo do transporte, Dificuldade em liberação pela empresa",,Acho que a cada ano está melhor,
Sim,"Palestras à tarde, Keynotes","Segunda-feira, Terça-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Muito alta,Conectividade,Dificuldade em liberação pela empresa,"As perguntas ficaram um pouco confusas, a chance de participar do Python 2021 aumentam se for no formato online, e se o evento for online e concorrer com o horario de trabalho, provavelmente precisarei alinhar com a empresa.","o formato foi bem interessante e a disponibilidade da agenda facilitou muito, os eventos da Microsoft permitem o usuario selecionar as palestras que deseja assistir e cada participante pode montar a sua propria agenda e seguir uma sequencia de palestras, a Microsoft também sugere palestra por trilhas por assunto, são sugestões que facilitam quem deseja aprender mais sobre algum tema especifico do python.",
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Média,Alta,Alta,Muito baixa,Muito baixa,Bom,Excelente,Não se aplica,,Alta,Muito alta,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia",,,
Sim,Palestras à noite,"Sexta-feira, Sábado, Domingo",Muito alta,Baixa,Alta,Baixa,Baixa,Baixa,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Baixa,Muito alta,Média,Baixa,,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,"Horários das atividades incompatíveis com agenda, Sendo online 100%",Online eu participo,,Mais vagas nos tutoriais,
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sábado",Alta,Não se aplica,Alta,Alta,Média,Não se aplica,Bom,Excelente,Bom,Bom,Muito alta,Muito baixa,"Horários das atividades incompatíveis com agenda, Conectividade, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",,"A divisão dos tutoriais. Vários ficaram muito vazios e seria legal abrir a vaga para outras pessoas e/ou liberar para assistir dois.

Mas achei muito legal algumas palestras que as pessoas se descreviam para as pessoas com deficiência visual. Gostei também de palestrar que abordaram questões importantes como o racismo. Isso precisa continuar. ",
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Alta,Alta,Baixa,Muito alta,Baixa,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia","Sem vacina não saio de casa; Custo de transporte e estadia dependendo da época, é o que mais me impediria de participar.","Para mim, foi uma excelente Python Brasil, nada a melhorar!",
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Alta,,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Alta,,,Custo do transporte,Nào tenho condições de fazer uma viagem.,Acho que a inovação é sempre bem vinda de alguma maneira,
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa,,,
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,,Alta,,Muito alta,,Excelente,Excelente,Excelente,Excelente,Alta,Muito alta,Acho que as opções de resposta para essa pergunta estão erradas,Não teria impedimento,"Não tenho nenhum impedimento em participar, no caso de ser presencial eu não iria devido a pandemia.","Sem dúvidas deve melhorar o repasse de informações, muitas pessoas perderam os tutoriais porque não receberam nenhuma informação via e-mail. A comunicação foi muito falha ao ser toda pelo Discord e várias pessoas não sabem usar, ou seja, toda e qualquer informação deve ser enviada por e-mail. Deixaram muito a desejar nesse ponto, não tinha nenhuma informação sobre nada, tudo era via Discord.",
Sim,"Rodas de conversa, Palestras à noite","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Alta,Alta,Alta,Alta,Bom,Bom,Bom,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,,
Não,"Palestras à tarde, Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Muito alta,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa","Existe muitas incertezas com relação a pandemia, por isto fico preocupado em participar presencialmente, mesmo que no ano que vem. Sobre o trabalho, como não atuo diretamente com programação, acaba sendo um pouco mais difícil justificar a participação.","Achei o evento incrível. O uso do Discord foi um baita diferencial, fiquei encantado com as possibilidades exploradas. As palestras também foram muito ricas e a divisão pelos níveis de conhecimento também fez toda a diferença. 
Fiquei chateado por não conseguir ter participado dos tutorias, mas, também entendo a demanda gigante que foi, porém não tenho ideias no momento de como melhorar este item. 
No mais, parabéns aos envolvidos e aguardando ansiosamente pela edição do ano que vem. 
",
Sim,Tutoriais,Sábado,Muito alta,Não se aplica,Não se aplica,Não se aplica,Muito alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,Não estou residindo no Brasil,,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Alta,Não se aplica,Muito alta,Média,Alta,Não se aplica,Excelente,Excelente,Indiferente,Bom,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,"As trilhas poderiam ser delimitadas por área. Web , carreira ,  datascience ...",
Sim,"Rodas de conversa, Keynotes, Tutoriais, Sprints","Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo do ingresso, Dificuldade em liberação pela empresa",Depende muito de qual dia da semana vai ser e do horário.,,foi ótimo.
Sim,Tutoriais,Sábado,,,,,Muito alta,,,,Excelente,,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,,,"Incrível, foi muito muito bom"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Média,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Conectividade,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,"Rodas de conversa, Palestras à noite, Keynotes","Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Alta,Alta,Alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Acessibilidade do evento,,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Alta,Média,Alta,,,,Excelente,Excelente,,,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa","O modo on-line fica muito acessível. O presencial é melhor, porém tem mais impedimentos para não ir, e dependendo o local, pode dificultar por questões de passagem, hotel e evento.",Daria para diminuir o intervalo entre as rodas de conversa e o início das palestras,Parabéns pela organização
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos","Insegurança relacionada a pandemia COVID-19, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa",,"Sei que foi a primeira experiência entao foi a melhor solução possível, mas pro ano que vem seria legal os tutoriais poderem ter mais  pessoas, 20 vagas foi pouco. Talvez deixar um numero restrito podendo  interagir mas quem quiser pode ver a ""live"" igual uma palestra?","Parabéns pelo evento maravilhoso, vocês fizeram milagres para que mesmo sendo online fosse um evento em que  pudemos  conhecer novas pessoas, interagir. Parabéns Ana Dulce, Mazoni, Lidiane, etc etc ❤️"
Não,"Tutoriais, Sprints",Sábado,Muito alta,Não se aplica,Não se aplica,Não se aplica,Muito alta,Alta,Não se aplica,Não se aplica,Excelente,Excelente,Alta,Baixa,"Horários das atividades incompatíveis com agenda, Não tenho interesse em eventos on-line","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia",,,
Não,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Alta,Muito alta,Horários das atividades incompatíveis com agenda,,,,
Não,"Palestras à tarde, Palestras à noite, Keynotes","Terça-feira, Quarta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa",,,
Sim,"Rodas de conversa, Palestras à noite, Keynotes","Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Custo da estadia, Não ter ninguém com quem deixar os filhos",ADOREI AS PALESTRAS QUE ASSITI - FORA A QUESTÃO DE INCLUSÃO E ACESSIBILIDADE,fazer mais conteúdo para a web com django flask e fastAPI,sen-sa-cio-nal
